name,type,object_types,search_weight,filter_logic,weight,label,group_name,related_object_type,required,unique,description,default,choice_set,validation_minimum,validation_maximum,validation_regex,ui_visible,ui_editable,is_cloneable,comments,id
seen_wsus_last,datetime,"dcim.device,virtualization.virtualmachine",0,loose,100,Seen (WSUS) - Last Managed Report,Signals,,false,false,Auto-maintained field: seen_wsus_last,,,,,,always,no,false,,
seen_wazuh_last,datetime,"dcim.device,virtualization.virtualmachine",0,loose,100,Seen (Wazuh) - Last Agent Activity,Signals,,false,false,Auto-maintained field: seen_wazuh_last,,,,,,always,no,false,,
seen_elastic_last,datetime,"dcim.device,virtualization.virtualmachine",0,loose,100,Seen (Elastic) - Last Event Ingested,Signals,,false,false,Auto-maintained field: seen_elastic_last,,,,,,always,no,false,,
seen_trellix_last,datetime,"dcim.device,virtualization.virtualmachine",0,loose,100,Seen (Trellix) - Last Check-in,Signals,,false,false,Auto-maintained field: seen_trellix_last,,,,,,always,no,false,,
seen_manageengine_mdm_last,datetime,"dcim.device,virtualization.virtualmachine",0,loose,100,Seen (ManageEngine MDM) - Last Check-in/Compliance,Signals,,false,false,Auto-maintained field: seen_manageengine_mdm_last,,,,,,always,no,false,,
seen_glpi_last,datetime,"dcim.device,virtualization.virtualmachine",0,loose,100,Seen (GLPI) - Last Inventory/Agent Seen,Signals,,false,false,Auto-maintained field: seen_glpi_last,,,,,,always,no,false,,
seen_teramind_last,datetime,"dcim.device,virtualization.virtualmachine",0,loose,100,Seen (Teramind) - Last Agent/Session Seen,Signals,,false,false,Auto-maintained field: seen_teramind_last,,,,,,always,no,false,,
seen_nessus_last,datetime,"dcim.device,virtualization.virtualmachine",0,loose,100,Seen (Nessus) - Last Scan/Asset Seen,Signals,,false,false,Auto-maintained field: seen_nessus_last,,,,,,always,no,false,,
seen_veeam_last,datetime,"dcim.device,virtualization.virtualmachine",0,loose,100,Seen (Veeam) - Last Protected/Backup Status,Signals,,false,false,Auto-maintained field: seen_veeam_last,,,,,,always,no,false,,
seen_vcenter_last,datetime,"dcim.device,virtualization.virtualmachine",0,loose,100,Seen (vCenter) - Last VM Inventory Seen,Signals,,false,false,Auto-maintained field: seen_vcenter_last,,,,,,always,no,false,,
seen_fortigate_last,datetime,"dcim.device,virtualization.virtualmachine",0,loose,100,Seen (FortiGate) - Last Network Seen,Signals,,false,false,Auto-maintained field: seen_fortigate_last,,,,,,always,no,false,,
seen_fortianalyzer_last,datetime,"dcim.device,virtualization.virtualmachine",0,loose,100,Seen (FortiAnalyzer) - Last Telemetry Seen,Signals,,false,false,Auto-maintained field: seen_fortianalyzer_last,,,,,,always,no,false,,
seen_avanti_last,datetime,"dcim.device,virtualization.virtualmachine",0,loose,100,Seen (Avanti VPN) - Last VPN Auth Seen,Signals,,false,false,Auto-maintained field: seen_avanti_last,,,,,,always,no,false,,
business_owner,text,"dcim.device,virtualization.virtualmachine",0,loose,100,Business Owner,Ownership,,false,false,Auto-maintained field: business_owner,,,,,,always,yes,false,,
technical_owner,text,"dcim.device,virtualization.virtualmachine",0,loose,100,Technical Owner,Ownership,,false,false,Auto-maintained field: technical_owner,,,,,,always,yes,false,,
security_responsible,text,"dcim.device,virtualization.virtualmachine",0,loose,100,Security Responsible,Ownership,,false,false,Auto-maintained field: security_responsible,,,,,,always,yes,false,,
environment,text,"dcim.device,virtualization.virtualmachine",0,loose,100,Environment (prod/dev/test),Classification,,false,false,Auto-maintained field: environment,,,,,,always,yes,false,,
server_category_code,text,"dcim.device,virtualization.virtualmachine",0,loose,100,Server Category Code,Classification,,false,false,Auto-maintained field: server_category_code,,,,,,always,yes,false,,
criticality,text,"dcim.device,virtualization.virtualmachine",0,loose,100,Criticality / Impact,Classification,,false,false,Auto-maintained field: criticality,,,,,,always,yes,false,,
classification_validated,boolean,"dcim.device,virtualization.virtualmachine",0,loose,100,Classification Validated,Classification,,false,false,Auto-maintained field: classification_validated,,,,,,always,yes,false,,
maintenance_window,text,"dcim.device,virtualization.virtualmachine",0,loose,100,Maintenance Window,SOP Evidence,,false,false,Auto-maintained field: maintenance_window,,,,,,always,yes,false,,
escalation_path,text,"dcim.device,virtualization.virtualmachine",0,loose,100,Escalation Path,SOP Evidence,,false,false,Auto-maintained field: escalation_path,,,,,,always,yes,false,,
ir_contact,text,"dcim.device,virtualization.virtualmachine",0,loose,100,Incident Response Contact,SOP Evidence,,false,false,Auto-maintained field: ir_contact,,,,,,always,yes,false,,
patch_source,text,"dcim.device,virtualization.virtualmachine",0,loose,100,Patch Source,SOP Evidence,,false,false,Auto-maintained field: patch_source,,,,,,always,yes,false,,
reboot_policy,text,"dcim.device,virtualization.virtualmachine",0,loose,100,Reboot Policy,SOP Evidence,,false,false,Auto-maintained field: reboot_policy,,,,,,always,yes,false,,
backup_scope,text,"dcim.device,virtualization.virtualmachine",0,loose,100,Backup Scope,SOP Evidence,,false,false,Auto-maintained field: backup_scope,,,,,,always,yes,false,,
backup_location,text,"dcim.device,virtualization.virtualmachine",0,loose,100,Backup Location,SOP Evidence,,false,false,Auto-maintained field: backup_location,,,,,,always,yes,false,,
