name,type,object_types,search_weight,filter_logic,weight,label,group_name,related_object_type,required,unique,description,default,choice_set,validation_minimum,validation_maximum,validation_regex,ui_visible,ui_editable,is_cloneable,comments,id
seen_wsus_last,datetime,"dcim.device,virtualization.virtualmachine",0,loose,100,Seen (WSUS) - Last Managed Report,Signals,,false,false,Auto-maintained signal field: seen_wsus_last,,,,,,true,false,false,,
seen_wazuh_last,datetime,"dcim.device,virtualization.virtualmachine",0,loose,100,Seen (Wazuh) - Last Agent Activity,Signals,,false,false,Auto-maintained signal field: seen_wazuh_last,,,,,,true,false,false,,
seen_elastic_last,datetime,"dcim.device,virtualization.virtualmachine",0,loose,100,Seen (Elastic) - Last Event Ingested,Signals,,false,false,Auto-maintained signal field: seen_elastic_last,,,,,,true,false,false,,
seen_trellix_last,datetime,"dcim.device,virtualization.virtualmachine",0,loose,100,Seen (Trellix) - Last Check-in,Signals,,false,false,Auto-maintained signal field: seen_trellix_last,,,,,,true,false,false,,
seen_mdm_last,datetime,"dcim.device,virtualization.virtualmachine",0,loose,100,Seen (MDM) - Last Check-in/Compliance,Signals,,false,false,Auto-maintained signal field: seen_mdm_last,,,,,,true,false,false,,
seen_manageengine_mdm_last,datetime,"dcim.device,virtualization.virtualmachine",0,loose,100,Seen (ManageEngine MDM) - Last Check-in/Compliance,Signals,,false,false,Auto-maintained signal field: seen_manageengine_mdm_last,,,,,,true,false,false,,
seen_nessus_last,datetime,"dcim.device,virtualization.virtualmachine",0,loose,100,Seen (Nessus) - Last Scan/Asset Seen,Signals,,false,false,Auto-maintained signal field: seen_nessus_last,,,,,,true,false,false,,
seen_veeam_last,datetime,"dcim.device,virtualization.virtualmachine",0,loose,100,Seen (Veeam) - Last Protected/Backup Status,Signals,,false,false,Auto-maintained signal field: seen_veeam_last,,,,,,true,false,false,,
seen_vcenter_last,datetime,"dcim.device,virtualization.virtualmachine",0,loose,100,Seen (vCenter) - Last VM Inventory Seen,Signals,,false,false,Auto-maintained signal field: seen_vcenter_last,,,,,,true,false,false,,
seen_fortigate_last,datetime,"dcim.device,virtualization.virtualmachine",0,loose,100,Seen (FortiGate) - Last Network Seen,Signals,,false,false,Auto-maintained signal field: seen_fortigate_last,,,,,,true,false,false,,
seen_fortianalyzer_last,datetime,"dcim.device,virtualization.virtualmachine",0,loose,100,Seen (FortiAnalyzer) - Last Telemetry Seen,Signals,,false,false,Auto-maintained signal field: seen_fortianalyzer_last,,,,,,true,false,false,,
seen_avanti_last,datetime,"dcim.device,virtualization.virtualmachine",0,loose,100,Seen (Avanti VPN) - Last VPN Auth Seen,Signals,,false,false,Auto-maintained signal field: seen_avanti_last,,,,,,true,false,false,,
seen_glpi_last,datetime,"dcim.device,virtualization.virtualmachine",0,loose,100,Seen (GLPI) - Last Inventory/Agent Seen,Signals,,false,false,Auto-maintained signal field: seen_glpi_last,,,,,,true,false,false,,
seen_teramind_last,datetime,"dcim.device,virtualization.virtualmachine",0,loose,100,Seen (Teramind) - Last Agent/Session Seen,Signals,,false,false,Auto-maintained signal field: seen_teramind_last,,,,,,true,false,false,,
hardening_last_checked,datetime,"dcim.device,virtualization.virtualmachine",0,loose,100,Hardening - Last Checked,Hardening,,false,false,Program field: hardening_last_checked,,,,,,true,false,false,,
hardening_last_result,text,"dcim.device,virtualization.virtualmachine",0,loose,100,Hardening - Last Result (pass/warn/fail),Hardening,,false,false,Program field: hardening_last_result,,,,,,true,false,false,,
hardening_report_url,url,"dcim.device,virtualization.virtualmachine",0,loose,100,Hardening - Latest Report URL,Hardening,,false,false,Program field: hardening_report_url,,,,,,true,true,false,,
